symbol,iap,iav
9474,809.0000,2300
9535,381.0000,1700
9539,0.0000,0
9553,217.0000,900
9556,5530.0000,700
9619,1900.0000,2000
9629,1950.0000,1100
9687,0.0000,0
9723,647.0000,300
9726,1282.0000,1200
9735,5389.0000,56600
9818,1478.0000,100
9837,1419.0000,5500
9878,680.0000,1400
9889,4555.0000,6800
9902,3195.0000,400
9979,1038.0000,3400
9986,2437.0000,700
9994,2859.0000,800
